X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
8,6,1,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8
6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0
7,4,1,3,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0
4,4,11,0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0
1,2,1,3,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0
5,6,11,1,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0
6,5,11,0,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0
8,6,1,3,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0
3,4,11,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0
1,2,1,3,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0
6,3,11,3,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0
5,4,7,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0
5,4,0,3,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0
4,4,7,2,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0
7,4,1,0,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0
5,4,11,0,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0
1,4,11,5,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0
4,5,7,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0
4,4,11,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0
7,4,1,3,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0
7,3,7,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0
8,6,1,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0
6,6,1,2,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0
4,4,11,3,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0
3,4,11,3,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0
6,5,7,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0
7,4,1,2,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0
6,5,11,1,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0
2,2,7,3,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0
4,5,1,4,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0
4,4,7,5,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0
5,4,1,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0
8,6,2,6,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0
4,4,1,4,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0
6,5,11,2,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0
3,4,1,3,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0
4,5,11,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0
3,4,7,6,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0
6,5,11,5,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0
2,4,1,0,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0
7,6,5,5,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0
1,3,11,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0
2,4,1,3,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0
3,5,11,0,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0
1,2,1,5,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0
4,3,5,3,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0
8,6,1,2,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0
7,4,11,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0
6,5,7,2,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0
7,5,1,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8
5,4,1,5,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0
6,3,11,4,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0
8,6,1,6,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0
6,4,1,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0
4,5,7,0,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0
2,5,1,5,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0
8,6,7,0,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0
2,4,1,6,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0
6,5,7,3,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0
1,3,11,3,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0
3,4,10,3,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0
6,5,1,5,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0
4,5,4,3,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0
2,2,3,0,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0
3,4,1,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0
6,5,1,0,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0
9,5,6,6,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0
3,4,11,6,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0
6,5,11,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0
6,3,9,5,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0
2,2,11,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0
2,2,1,6,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0
6,3,5,5,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0
8,6,7,3,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0
8,6,1,2,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0
2,4,1,3,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0
7,4,11,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0
2,5,1,4,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0
2,5,5,3,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0
2,2,3,2,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0
7,5,11,5,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0
4,3,11,5,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0
2,4,11,1,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0
6,5,11,0,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0
1,2,11,3,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0
4,3,11,2,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0
4,6,7,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0
3,4,11,0,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0
1,4,1,2,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0
3,5,11,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0
2,5,1,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0
6,5,11,6,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0
7,4,3,0,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0
1,3,1,0,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0
3,4,11,5,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0
9,9,5,5,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0
3,4,7,0,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0
4,3,1,3,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0
6,5,11,5,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0
3,4,11,3,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0
7,5,11,2,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0
6,4,0,2,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0
5,5,7,2,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0
3,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0
7,5,7,0,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0
4,3,11,0,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0
4,5,7,0,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0
5,4,3,0,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0
5,4,1,3,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0
1,2,1,4,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0
3,4,11,3,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0
1,4,11,3,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0
4,4,11,6,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0
5,4,11,0,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0
4,5,7,0,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0
3,3,11,2,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0
8,6,1,4,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0
2,5,5,2,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0
7,3,10,2,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0
6,5,6,0,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0
6,5,8,2,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0
4,3,6,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0
8,6,11,2,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0
6,5,1,6,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0
4,3,1,2,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0
2,2,1,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0
2,4,1,3,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0
6,4,7,2,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0
6,5,1,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0
8,6,1,1,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0
1,2,5,0,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0
9,4,5,1,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0
4,4,1,5,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4
6,5,11,2,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0
2,5,1,3,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0
2,4,11,3,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0
9,4,5,2,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0
6,4,1,0,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0
1,4,1,2,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0
2,4,1,1,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0
4,5,1,6,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0
8,6,1,2,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0
7,4,11,3,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0
4,6,11,3,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0
3,4,1,3,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0
6,5,7,6,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0
4,3,1,6,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0
8,6,1,2,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0
2,4,1,1,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0
1,4,1,2,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0
1,5,11,2,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0
8,5,1,6,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0
4,6,2,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0
2,4,1,6,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0
8,6,1,5,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0
4,4,11,6,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0
4,3,1,6,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0
3,4,11,1,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0
6,5,11,2,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0
7,4,1,2,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0
4,5,11,2,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0
8,6,1,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0
1,2,1,5,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0
1,3,1,0,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0
1,2,1,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0
8,6,11,5,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0
6,3,11,0,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0
3,4,1,3,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0
1,4,1,0,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0
8,6,1,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0
4,3,7,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0
6,3,11,2,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0
7,4,5,2,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0
9,6,1,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0
4,3,11,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0
4,5,1,1,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0
2,4,11,6,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0
2,2,1,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0
4,4,7,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0
1,3,1,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0
4,5,11,5,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0
6,3,11,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0
6,3,11,5,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0
2,2,1,3,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0
6,6,1,1,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0
8,6,11,1,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0
4,5,11,2,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0
2,4,1,3,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0
5,6,11,6,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0
3,6,6,0,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0
2,5,1,3,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0
6,5,7,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0
4,3,11,3,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0
6,4,6,3,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0
5,4,11,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0
8,6,1,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0
2,4,11,3,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0
2,4,11,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0
3,6,11,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0
7,4,1,2,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0
8,6,1,0,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0
4,5,11,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0
3,5,7,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0
6,5,6,2,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0
3,4,7,2,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0
7,4,11,0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0
3,4,1,5,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0
5,5,1,3,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0
8,6,11,1,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0
1,5,11,3,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0
1,3,11,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0
4,3,11,5,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0
9,9,5,4,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0
6,3,3,0,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0
8,6,1,6,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0
5,4,5,6,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0
2,5,11,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0
8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0
3,4,7,2,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0
3,4,7,5,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0
3,4,7,1,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0
6,5,0,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0
5,4,11,6,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0
7,4,11,6,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0
4,3,1,4,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0
6,5,0,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0
6,5,11,2,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0
2,2,1,5,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0
3,4,11,5,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0
6,5,11,2,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0
5,4,1,5,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0
5,4,3,3,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0
1,3,11,2,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0
7,4,11,0,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0
2,4,11,2,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0
8,6,1,3,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0
4,6,3,2,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0
7,4,11,0,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0
8,6,11,1,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0
8,6,1,1,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0
2,2,7,3,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0
8,6,1,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0
4,5,11,6,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0
2,5,11,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0
2,2,1,5,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0
7,4,3,3,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0
3,4,5,2,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0
2,2,1,2,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0
6,3,11,1,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0
8,6,5,3,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0
7,5,11,2,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0
4,4,1,5,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0
3,4,3,2,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0
4,4,10,2,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0
6,3,0,6,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0
4,3,10,3,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0
6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0
5,6,1,3,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0
1,4,11,0,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0
6,3,10,5,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0
6,5,7,1,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0
6,4,11,5,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0
3,4,7,6,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0
4,4,11,2,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0
9,9,3,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0
1,5,11,5,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0
1,3,7,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0
6,3,1,0,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0
8,6,10,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0
8,6,11,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0
3,4,5,1,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0
7,4,10,2,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0
4,3,1,6,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0
2,4,1,0,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0
7,4,1,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0
4,3,5,4,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0
7,4,1,2,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0
1,4,11,1,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0
4,5,11,3,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0
1,4,11,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0
7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0
9,9,5,3,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0
8,3,6,1,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0
3,6,6,0,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0
6,5,7,0,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0
5,4,11,0,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0
3,4,11,0,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0
7,4,1,3,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0
1,2,1,0,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0
1,2,11,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0
7,5,0,3,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0
1,2,5,2,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0
1,4,1,0,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0
6,5,1,5,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0
2,4,1,3,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0
7,4,5,2,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0
3,6,11,3,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0
6,5,1,6,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0
1,2,1,6,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0
8,6,1,3,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0
2,4,1,6,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0
7,4,1,3,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0
4,4,11,0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0
8,6,1,4,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0
3,5,7,1,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0
2,5,1,0,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0
4,4,1,5,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0
7,4,5,1,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0
2,4,4,2,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0
5,4,11,0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0
6,3,3,3,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0
8,6,11,0,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0
7,5,10,1,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0
4,5,11,5,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0
7,4,1,3,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0
6,5,0,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0
2,2,1,1,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0
6,5,11,0,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0
8,6,6,3,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0
3,4,5,6,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0
4,5,11,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0
7,4,11,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0
2,4,11,3,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0
7,4,11,0,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0
9,9,3,0,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0
4,4,11,2,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0
4,6,2,0,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0
7,4,1,1,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0
8,6,7,0,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2
5,4,1,5,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0
4,4,7,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0
2,2,1,5,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0
3,4,1,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0
5,5,7,4,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0
6,5,1,0,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0
6,3,11,0,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0
2,4,1,4,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0
3,4,1,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0
1,3,1,2,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0
